,Array,Time,Permutation Count
Brute,[0],5.3882598876953125e-05,1
Refined,[0],6.9141387939453125e-06,1
Brute,[0],2.7894973754882812e-05,1
Refined,[0],5.9604644775390625e-06,1
Brute,[0],5.888938903808594e-05,1
Refined,[0],6.198883056640625e-06,1
Brute,[0],5.602836608886719e-05,1
Refined,[0],6.198883056640625e-06,1
Brute,[0],5.7220458984375e-05,1
Refined,[0],5.7220458984375e-06,1
Brute,[0],5.4836273193359375e-05,1
Refined,[0],4.76837158203125e-06,1
Brute,[0],2.574920654296875e-05,1
Refined,[0],2.002716064453125e-05,1
Brute,[0],3.790855407714844e-05,1
Refined,[0],6.9141387939453125e-06,1
Brute,[0],5.5789947509765625e-05,1
Refined,[0],6.198883056640625e-06,1
Brute,[0],5.2928924560546875e-05,1
Refined,[0],5.9604644775390625e-06,1
Brute,"[0, 1]",0.00018095970153808594,2
Refined,"[0, 1]",1.4066696166992188e-05,2
Brute,"[0, 1]",0.00015783309936523438,2
Refined,"[0, 1]",1.1205673217773438e-05,2
Brute,"[0, 1]",0.00016880035400390625,2
Refined,"[0, 1]",1.1205673217773438e-05,2
Brute,"[0, 1]",0.00016999244689941406,2
Refined,"[0, 1]",1.0967254638671875e-05,2
Brute,"[0, 1]",0.00016498565673828125,2
Refined,"[0, 1]",9.775161743164062e-06,2
Brute,"[0, 1]",0.00013494491577148438,2
Refined,"[0, 1]",1.0967254638671875e-05,2
Brute,"[0, 1]",0.00016069412231445312,2
Refined,"[0, 1]",1.0251998901367188e-05,2
Brute,"[0, 1]",0.0001590251922607422,2
Refined,"[0, 1]",1.0967254638671875e-05,2
Brute,"[0, 1]",0.00015592575073242188,2
Refined,"[0, 1]",1.0013580322265625e-05,2
Brute,"[0, 1]",0.00013709068298339844,2
Refined,"[0, 1]",1.1920928955078125e-05,2
Brute,"[0, 1, 2]",0.0023560523986816406,6
Refined,"[0, 1, 2]",2.5033950805664062e-05,6
Brute,"[0, 1, 2]",0.0022039413452148438,6
Refined,"[0, 1, 2]",2.193450927734375e-05,6
Brute,"[0, 1, 2]",0.002015829086303711,6
Refined,"[0, 1, 2]",1.8835067749023438e-05,6
