,Array,Time,Permutation Count
Refined,[0],1.0967254638671875e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],1.3828277587890625e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],4.1961669921875e-05,1
Refined,[0],4.38690185546875e-05,1
Refined,[0],4.363059997558594e-05,1
Refined,[0],4.1961669921875e-05,1
Refined,[0],4.1961669921875e-05,1
Refined,[0],4.2438507080078125e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],1.3828277587890625e-05,1
Refined,[0],2.6941299438476562e-05,1
Refined,[0],1.2874603271484375e-05,1
Refined,[0],1.1205673217773438e-05,1
Refined,[0],8.821487426757812e-06,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],7.867813110351562e-06,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],1.3113021850585938e-05,1
Refined,[0],1.1920928955078125e-05,1
Refined,[0],1.9073486328125e-05,1
Refined,[0],1.2874603271484375e-05,1
Refined,[0],1.0967254638671875e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],8.106231689453125e-06,1
Refined,[0],9.298324584960938e-06,1
Refined,[0],7.867813110351562e-06,1
Refined,[0],9.059906005859375e-06,1
Refined,[0],1.2874603271484375e-05,1
Refined,[0],1.3828277587890625e-05,1
Refined,[0],1.0967254638671875e-05,1
Refined,[0],1.1920928955078125e-05,1
Refined,[0],9.059906005859375e-06,1
Refined,[0],8.106231689453125e-06,1
Refined,[0],9.059906005859375e-06,1
Refined,[0],1.3113021850585938e-05,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],1.430511474609375e-05,1
Refined,[0],2.6941299438476562e-05,1
Refined,[0],2.193450927734375e-05,1
Refined,[0],1.3828277587890625e-05,1
Refined,[0],1.71661376953125e-05,1
Refined,[0],1.2159347534179688e-05,1
Refined,[0],2.002716064453125e-05,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],1.71661376953125e-05,1
Refined,[0],1.430511474609375e-05,1
Refined,[0],1.0728836059570312e-05,1
Refined,[0],1.1682510375976562e-05,1
Refined,[0],1.0967254638671875e-05,1
Refined,[0],1.1682510375976562e-05,1
Refined,[0],1.5974044799804688e-05,1
Refined,[0],1.1682510375976562e-05,1
Refined,[0],9.775161743164062e-06,1
Refined,[0],4.506111145019531e-05,1
Refined,[0],1.2874603271484375e-05,1
Refined,[0],4.00543212890625e-05,1
Refined,[0],1.0967254638671875e-05,1
Refined,[0],4.291534423828125e-05,1
Refined,[0],4.291534423828125e-05,1
Refined,[0],1.1920928955078125e-05,1
Refined,[0],1.9073486328125e-05,1
Refined,[0],2.6226043701171875e-05,1
Refined,[0],1.3113021850585938e-05,1
Refined,[0],1.5735626220703125e-05,1
Refined,[0],1.2159347534179688e-05,1
Refined,[0],1.5974044799804688e-05,1
Refined,[0],1.9073486328125e-05,1
Refined,[0],5.5789947509765625e-05,1
Refined,[0],1.1682510375976562e-05,1
Refined,[0],1.1920928955078125e-05,1
Refined,[0],4.1961669921875e-05,1
Refined,[0],3.0040740966796875e-05,1
Refined,[0],7.867813110351562e-06,1
Refined,[0],4.100799560546875e-05,1
Refined,[0],4.124641418457031e-05,1
Refined,[0],4.410743713378906e-05,1
Refined,[0],4.076957702636719e-05,1
Refined,[0],3.886222839355469e-05,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],1.2874603271484375e-05,1
Refined,[0],1.5020370483398438e-05,1
Refined,[0],1.2159347534179688e-05,1
Refined,[0],1.0013580322265625e-05,1
Refined,[0],1.0967254638671875e-05,1
Refined,[0],3.0994415283203125e-05,1
Refined,[0],1.3828277587890625e-05,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],1.4066696166992188e-05,1
Refined,[0],4.601478576660156e-05,1
Refined,[0],1.3113021850585938e-05,1
Refined,[0],4.291534423828125e-05,1
Refined,[0],9.059906005859375e-06,1
