,Enqueue() Empty,Enqueue() Full: 10000,Dequeue() Empty,Dequeue() Full: 10000,GetLength() : 10000
0,7000,11334000,2000,7644000,877000
1,6000,11578000,1000,7753000,911000
2,7000,11229000,2000,7247000,866000
3,6000,26608000,2000,6750000,872000
4,12000,15264000,2000,8330000,909000
5,7000,11897000,1000,7295000,1144000
6,6000,10466000,1000,6990000,679000
7,6000,10930000,1000,6625000,684000
8,8000,25196000,2000,7126000,694000
9,6000,11562000,1000,6696000,881000
10,7000,12308000,2000,6702000,765000
11,5000,10604000,2000,7296000,683000
12,7000,11278000,2000,7059000,744000
13,7000,20266000,2000,6659000,690000
14,5000,10991000,1000,7115000,694000
15,7000,10869000,2000,6817000,938000
16,6000,11052000,2000,6673000,674000
17,4000,21189000,2000,6921000,696000
18,6000,11174000,1000,7127000,698000
19,6000,10961000,2000,7403000,678000
20,6000,13425000,1000,7728000,1036000
21,6000,13919000,1000,9695000,752000
22,9000,27488000,3000,10991000,1079000
23,7000,14179000,2000,8899000,700000
24,6000,12376000,2000,10743000,1005000
