,Push() Empty,Push() Full: 10000,Pop() Empty,Pop() Full: 10000,GetLength() : 10000
0,6000,23709000,1000,6192000,785000
1,6000,12560000,2000,11735000,1288000
2,11000,16275000,3000,7866000,1320000
3,9000,18515000,3000,10335000,1470000
4,12000,27485000,3000,6090000,861000
5,5000,12094000,1000,8564000,957000
6,8000,10773000,2000,7026000,698000
7,6000,11431000,1000,7031000,710000
8,7000,11266000,1000,8109000,967000
9,8000,23099000,1000,6608000,935000
10,7000,11437000,1000,6662000,746000
11,6000,12001000,1000,6167000,969000
12,38000,11225000,1000,6387000,783000
13,8000,11348000,2000,6452000,781000
14,7000,22593000,1000,6383000,956000
15,65000,10792000,2000,6717000,759000
16,5000,11502000,1000,6993000,997000
17,6000,11379000,1000,6698000,860000
18,7000,12640000,1000,6509000,776000
19,6000,20366000,1000,6398000,672000
20,8000,11106000,2000,6670000,923000
21,5000,10287000,1000,6044000,722000
22,4000,10135000,1000,6051000,678000
23,5000,22043000,1000,6756000,777000
24,7000,10595000,1000,6176000,682000
