,Push() Empty,Push() Full: 250000,Pop() Empty,Pop() Full: 250000,GetLength() : 250000
0,28000,462632000,3000,194570000,5000
1,11000,405260000,3000,171262000,1000
2,9000,408281000,2000,193709000,1000
3,11000,392781000,2000,184402000,2000
4,12000,447947000,3000,178687000,2000
5,11000,376880000,3000,164204000,2000
6,11000,402042000,3000,181293000,1000
7,22000,420765000,3000,189214000,3000
8,11000,448901000,34000,186217000,1000
9,15000,410732000,3000,190267000,3000
10,16000,425856000,3000,190413000,2000
11,10000,407932000,9000,175500000,1000
12,11000,411213000,2000,166346000,1000
13,11000,379431000,3000,164976000,2000
14,11000,380172000,2000,173899000,1000
15,12000,379153000,3000,164000000,2000
16,14000,419091000,2000,172102000,1000
17,11000,373916000,2000,161766000,1000
18,10000,389526000,3000,178735000,2000
19,16000,372545000,4000,180179000,2000
20,10000,415646000,2000,172044000,1000
21,10000,365827000,2000,166014000,1000
22,10000,383600000,1000,165671000,2000
23,17000,375601000,3000,165059000,2000
24,13000,406645000,2000,160118000,1000
