,Enqueue() Empty,Enqueue() Full: 10000,Dequeue() Empty,Dequeue() Full: 10000,GetLength() : 10000
0,2000,1886000,2000,111843000,2000
1,3000,1534000,1000,114984000,0
2,2000,1834000,1000,112439000,2000
3,3000,1672000,1000,113077000,1000
4,3000,1556000,2000,111510000,1000
5,3000,1568000,1000,111826000,1000
6,3000,1495000,1000,113468000,1000
7,2000,1579000,1000,124190000,1000
8,4000,2003000,2000,115758000,3000
9,4000,1690000,2000,112524000,2000
10,4000,1560000,1000,113957000,1000
11,6000,1657000,2000,112893000,1000
12,3000,1614000,2000,114874000,1000
13,3000,1649000,1000,118153000,8000
14,3000,1829000,2000,114061000,1000
15,6000,1730000,2000,134416000,7000
16,3000,1768000,1000,121281000,2000
17,3000,1545000,2000,121164000,1000
18,41000,2477000,31000,133913000,8000
19,6000,1695000,3000,122229000,2000
20,3000,1729000,2000,131728000,2000
21,3000,3148000,2000,120028000,47000
22,3000,1765000,1000,121665000,7000
23,2000,1758000,2000,119948000,7000
24,36000,2018000,2000,115580000,1000
