,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,4501673767,6323590085,45930159316,4327197581,2306872127,11348312670,5157685115,3443184406,17093682641
1,6564966560,9647163541,74675489424,4679562337,2447213922,12150105031,4894614991,3152299227,18225471525
2,6461788011,9324231721,71485721767,5948745947,2996546044,15348728583,4504070236,2857663083,15344277225
3,6429714297,9842218904,68221199223,5420526668,3263271185,14982767033,5819805694,3739059481,19259856919
4,6575542746,9557310965,60371442853,5903986191,3202644278,14625243293,5666277780,3720097111,18863803383
5,6673006859,10240246471,67443326363,6092866083,3387176041,15480448048,6062696821,4002975771,18958929663
6,4863966292,7153701737,63457196118,5814963292,3109478418,14370694602,5596905993,3607131224,18569726631
7,7475881367,10826973762,78293901198,5737559743,3191524942,11779133377,4566324058,2798928749,15554958373
8,5061914621,7614837521,71915429246,5676201069,3128773182,12023701490,4382650310,2793467827,14743311560
9,7339778089,10852869322,69901937044,6068771875,3213369176,15587793749,6250064813,4152395658,20943007453
10,6570727156,9579652748,67849555768,4225633553,2399389056,10940037571,4503063577,2950650594,18324351740
11,4923499014,7150812479,68817861076,5511070695,3058157591,13884253813,5847511765,3598502186,17579558547
12,4919522610,7147736209,66257387359,5635324606,3019781340,14251537804,5464499695,3499023837,16791032637
13,4912018600,7153929575,68362337347,5647962218,3078623167,14278795086,5569177734,3624394393,16640646444
14,4897688048,7190993736,66285502544,5493237585,3073779399,13934021001,5569533877,3673452275,18766233483
15,4928900298,7187889916,67622676010,5681829476,3013963628,14471782543,5701946715,3519291412,18721431971
16,6784314795,9625577181,73289415753,5474223296,3060425245,14188314302,5447508080,3386332291,14535692141
17,6735963981,9529645545,68409404507,4540093624,2377696078,11535361326,4750891716,3068214658,19248481753
18,6742676978,9526235362,66690082425,4393785995,2356593445,11423924526,4559796232,3126123556,18221057926
19,4869641048,7152353150,68392685919,5755947585,2999665406,14695435959,5573820146,3630751212,16680028073
20,4695058367,5401800736,40489116927,3674516391,2631658412,11610558984,4553886610,3110119629,13830743415
21,4918012193,7102195591,48039788642,3470860576,1810014465,9045320896,3653218314,2341267540,12059419560
22,4924441810,7313907461,47676983314,4417106150,2577046042,11103496551,4812189141,3247704415,13513685824
23,4501878938,7282574746,50763213010,4579428436,2614491658,11490420925,4850759491,3240077882,14528349812
24,3751679148,5366483110,42364292927,4622458109,2623969089,10988490605,4758227221,3200315153,14430143198
