,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,6523733605,11193827144,70077263066,3711924396,1398143674,8817950335,3620419523,1822677490,9731082087
1,6404653400,9460318236,69237190984,4252033301,1776631618,10975502649,4343966413,2507753390,10988843671
2,7435794425,11058881491,59367836350,3687365538,1423317416,9518034586,3970226959,2174664236,11993914038
3,8067415615,11537576416,69915376588,4376608225,1428570384,8742594524,3527251365,1796178997,9399795317
4,7725273208,11239027793,56759803885,4593590174,1856656693,11305829867,4723282517,2415049871,11951793676
5,7918189705,11258888911,66137809661,3466660502,1349801260,8461328357,3410132235,1831477370,9684952930
6,8154761046,11466589369,74546054692,4891562256,1905183640,11440481844,4822092310,2531966199,12932140690
7,5734514979,8608945381,66700155479,4319134363,1756361092,10710019070,4414941434,2346243343,11782115348
8,7628633431,11128442767,59144552797,4092387680,1664705370,11580460424,4803371227,2479117724,12473486775
9,8267081070,11190069521,65262578734,3474175691,1398837975,8632873192,3554217565,1843528015,9699883825
10,8143112450,11492792835,66546497673,3339450045,1333038982,8346741913,3381671422,1823964206,9612124245
11,7601200965,11101561078,63638610608,3378690939,1346802529,8380833015,3512829584,1841555060,9970702065
12,7692589859,13528502033,65762568662,3460737841,1355148109,9021742130,3466059156,1857890098,10354616205
13,7649186186,11071530601,62119838061,3486903396,1325867931,8940749942,4609093603,2480910269,12146900520
14,7705851047,11131768593,64356593790,3327784103,1342581714,8764322867,3435496969,1863969532,10169791977
15,7847538124,11106688765,68197390115,4525746187,1758083943,11054730091,4555267517,2285716346,11807310917
16,5720812616,8321130834,64831144974,4491404929,1821256876,11111337710,4440170545,2458631763,12142101567
17,7687936945,11134218966,67501496753,4268827941,1735654746,10522330926,4458679924,2235865865,11512731057
18,5646226862,8333166715,62571231580,4437109943,1845632350,11133853442,4336534424,2272699602,12076940516
19,5680516623,8300311820,61375567591,4475796916,1756444911,10917777938,4457871839,2363357618,11480191441
20,5988981597,6590069844,39501897672,3123065527,1329883995,9304472344,4130327593,2325618956,10300183294
21,5995114260,9278721339,45611218434,2883166666,1154978514,6674760823,2910822513,1635451035,7929397881
22,6091018093,9244413011,48217138681,3831603882,1590625398,9026455823,3965893593,2181796066,10379405539
23,5255822612,9591838797,47498985783,3737645605,1604774102,8985576428,4174606317,2203511413,10429712387
24,4571609105,6624601559,43620432550,3893084398,1629872915,8965243256,3904768872,2191425570,10648696798
