,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,6226091939,8995520548,49690157684,2615187675,1239151238,6187470178,2632822131,1710777146,6336208167
1,6061137077,8685573803,43272208725,2667237621,1197680005,6209958444,2460372238,1672511717,6357640705
2,8072343630,11499247145,49413401120,2652762327,1162810748,6099992747,2552823674,1684069773,6192556514
3,6092848785,8973936574,49419340200,2751364800,1184322807,6327288921,2633437956,1725845095,6389716104
4,7923025921,11406060847,49738829542,2672968545,1138132585,6066612156,2696011184,1744146644,6528700318
5,6922477088,11620933826,52776582610,2660630743,1192231683,6257439661,2491377089,1708323014,5703855398
6,6662192030,9685501222,48273224599,2965688260,1378115730,6769790389,2837988666,1899929582,6872165459
7,8017159351,11676566227,46580647223,1973294328,890966370,4873948832,1951778494,1305874061,4997996333
8,8576473871,12043352222,53270566744,2728387276,1276093997,6299335494,2482226144,1700512113,6504177500
9,6719362137,11709467038,52068313353,2751653350,1235493433,6329687701,2610589135,1806539905,6613844978
10,7189772239,11962191045,50942646644,2545353608,1197952426,6076148250,2471409553,1302866676,4758331505
11,7725901919,12104120084,51875082229,2688655209,1211609578,5920089208,2018662229,1300202690,5057979239
12,8299463933,11968425009,49531610609,2561200756,1251234461,5677444585,1846602007,1288657544,4812777247
13,8197114818,11663573569,50522967352,2570337971,1184915472,5079107487,1937533647,1268203864,4855896480
14,7794568508,12001144183,50643195610,2590760601,1227607388,6095625696,1859661734,1258817133,4738262037
15,6669146230,8551682469,40236531537,2596824504,1261591356,6453324104,2698865390,1835101597,6571539812
16,7377938314,8544484800,39199419945,2141636292,1058337445,6313911034,2643459688,1729268404,6448384350
17,7886617783,8708917283,39875897212,2212713824,1013134549,6162117646,2665800847,1779517245,6507026353
18,8059772129,11587768444,49847975521,2669072650,1170572396,5889249000,1896584966,1326055292,4737682557
19,8007340778,11511819594,38722610804,2203037447,1120156640,5088481078,2193664873,1562100001,5301978543
20,6325190602,9575286200,34361006875,2188692146,1053494217,5045967979,2280188780,1588611033,5399991883
21,5193055851,7444297092,34162936966,2204461690,1082632845,5046084875,2231028557,1628081968,5368054548
22,6193394480,7035946906,26956658892,1644197769,785419978,4045215394,1681631430,1163059804,4186402708
23,6381120929,9645734693,34754939176,2237939480,1035414839,3982213335,1595463879,1119012838,4216751120
24,6493753943,9608370344,35021813489,2229011457,1156060524,5048091160,2229999156,1610278365,5421063766
