,Python Insert,Numpy Insert,Linked List Insert,Python Search,Numpy Search,Linked List Search,Python Delete,Numpy Delete,Linked List Delete
0,6909332582,10211800004,70917639803,4278644495,1799951726,10488633955,4330719622,2308749626,12989838326
1,8479111617,12089675781,83733456497,5831655281,2692682848,14568017410,5736765533,3318086347,13591415481
2,5591243898,8354648415,70554617479,5571443875,2367687257,13401305469,5460183416,2910817533,15624293535
3,7289772452,10651562907,65700848114,5764869116,2536084846,14516716832,5621996375,3149290767,16703355273
4,7353428000,10540334227,60004030321,5719791758,2507515661,13509784081,5371649348,3024171993,15690752756
5,7557398523,10671450453,72413519913,4498573238,1983876658,11045046985,4375534293,2398908004,14634907646
6,7255848980,10539180153,69039459932,4862662369,2037964361,11705621632,4805914961,2702883052,16449645227
7,5638711601,8838754786,74309953430,5338972875,2436277399,10599469443,4368617223,2336307815,12658255969
8,5551703246,8292647974,71997672369,5345600148,2320522177,13491135049,5199480711,2982995870,15623896432
9,7508605401,10690169159,70027969576,4479724786,1871131191,10982230333,4531170450,2441609104,15203104528
10,7423561735,10604521224,69113013870,4110656268,1880976897,10526037579,4436432931,2603828939,16063159008
11,5435610864,8009550669,68394543793,5322268492,2460376756,13055412357,5672931725,3111003949,16316529861
12,5427808604,7979527108,65820656549,5296717943,2369405321,13220622434,5283850977,2954228190,15503643126
13,5406705722,8033342026,67437524098,5361165406,2452932903,13372510512,5313234653,2951521964,16233233766
14,7282124373,10657905584,65052904019,4096093305,1809770247,10707279879,4512712118,2496570475,15982320560
15,7199058160,10412427101,66163719893,4363631229,1861008070,11129494451,4558801284,2559840191,16424644748
16,5501508602,7889935792,68756636607,5447342727,2554174354,13248808806,5221597549,3019535445,12915314282
17,7492394924,10651405926,67426664102,4259411594,1839567861,10825793671,4434793909,2525689121,15572126381
18,7366062224,10482746609,72222758339,5260433868,2289380548,13113141230,5150111056,2966720060,14389702257
19,5396781792,7900867743,68157961565,5460428883,2348753061,13710753670,5241984165,2972051907,14666680379
20,5940990999,8671360321,50936025891,4599870921,2184720644,10631860408,4646253504,2821988745,12299863984
21,4677690262,8103896923,51948088145,4612039738,2134005030,10785587489,4563613838,2784030887,12760786866
22,4435866840,6355280738,41949785084,4653781994,2204200725,10486272366,4641553880,2831680551,12690225990
23,5874010656,8660180624,48043165431,3399274612,1462444124,8401061473,3545824540,2001131418,10496439501
24,5908387180,9074848193,51735002079,4512117885,2177306105,10677066532,4663613879,2822360448,10461122045
